row_id	split	note	sentiment	theme	assureur	snippet
0	train	4.0	positive	Customer Service	L'olivier Assurance	The person on the phone was clear and friendly she explained everything to me I would recommend your insurance without hesitation thank you to the person I cont
7	train	4.0	positive	Claims Processing	Pacifica	Following my ice broken the treatment of it was perfect the reimbursement happened to me 4 days after my shipment. Very satisfied. Very happy with your performa
10	train	1.0	negative	Customer Service	Sma	After several declaration of cracks and micro cracks on a new house since reception, Smabtp persists to say that it is aesthetic, while one of the cracks is cro
16	train	1.0	negative	Customer Service	MAIF	Insurance leaves to desire I have made an error in rrjôihnant this company resilier without real reason Aplay that I have contact customer service to tell them 
17	train	5.0	positive	Pricing	L'olivier Assurance	Very good insurance good value for money. I highly recommend this olive insurance. For my Polo V there is no better.
23	train	3.0	neutral	Other	Generali	Holder of ASAC Fapès life insurance for over 8 years, I recommend this operator. Indeed I cannot get the overall buy -back of my life insurance. Unacceptable
24	train	5.0	positive	Pricing	Direct Assurance	I am satisfied with direct insurance really cheap and always present either for information or requests good continuation direct insurance
27	train	4.0	positive	Enrollment	L'olivier Assurance	I am satisfied with the ease of registration. This seems to be good omen for the future. Pending all of the documents. Thank you
28	train	4.0	positive	Coverage	Santiane	Santiane appears to be more able to find the right health insurance contract. Now we will have to see in the future if all the guarantees really meet the needs,
34	train	2.0	negative	Other	Direct Assurance	What problem with this insurance. When you tell the garage that you are at home, they all make the grimace. They find it difficult to repay what they owe you
36	train	1.0	negative	Coverage	Allianz	Doubtful methods, lack of advice, forced sale, an overpriced contract with non -existent guarantees, to flee.
40	train	2.0	negative	Other	Mgen	Loss of files several times (3 times including 2 like).
41	train	5.0	positive	Enrollment	L'olivier Assurance	I am satisfied with the service, our interlocutor has been responsive and good advice. The price remains correct, and hope to entrust you with the insurance of 
44	train	5.0	positive	Pricing	L'olivier Assurance	Very good value for money. The options chosen are an additional asset. I hope to be satisfied with our collaboration. Thank you also for your advice.
46	train	5.0	positive	Enrollment	Active Assurances	I find it surprising that there are so many notes to 1 star with a lot of negative. I had a little concern recently the new accounts they have implemented but e
50	train	1.0	negative	Customer Service	Harmonie Mutuelle	Archi-nul customer service !!! Landed letters, Ubuhesque telephone appointments !!! Impossible to have my advisor on the phone. I've been trying to settle my si
51	train	1.0	negative	Customer Service	APRIL	Hello it's been 10 days that I am waiting for my refund I no longer have access to my account, computer problem, I have more to have them on the phone and my sa
53	train	2.0	negative	Cancellation	MAIF	An termination of all my contracts after 20 years of confidence for mobile phones, a shame !!! Optional contract covering damage to nomadic devices to be avoide
54	train	5.0	positive	Customer Service	Santiane	Thank you to the person who is well busy in my file thank you Nelly for having known how to answer me. I highly recommend Thanks to her. Quick phone socket. Ple
57	train	3.0	neutral	Pricing	AXA	TOP Auto Insurance. Never had problems with them, I have been a client for over ten years. My parents have also been customers at home for many years, they know
66	train	5.0	positive	Pricing	Direct Assurance	very fast service and satisfied with this contract attractive price and very good relationship with the salesperson and already very satisfied for it is exchang
67	train	3.0	neutral	Pricing	Direct Assurance	I am satisfied with the service Prices are reasonable The service is satisfactory The price should be seen downwards for a professional and student
68	train	1.0	negative	Claims Processing	MACIF	Impossibility of terminating. Call twice, with two different explanations. Two incompetent teleconsilles. Mutual to avoid reimbursement level. Money
74	train	4.0	positive	Claims Processing	Eca Assurances	insurance subscribed last August for my dog ​​and I am really delighted with my insurance. She recently had problems and the reimbursements were very fast. Ever
77	train	3.0	neutral	Pricing	L'olivier Assurance	Concerns the prices they are reasonable, however it is poorly explained in your website at the time of the estimate of quotes. To be reviewed to be clear.
78	train	2.0	negative	Pricing	Direct Assurance	I asked to review my contract because I am currently paying almost 900 euros while by making simulations at Direct Insurance I can pay half price and with compe
89	train	3.0	neutral	Pricing	L'olivier Assurance	Quick call, and all the information requested is explained in an easy way. Even if the price is high enough I remain while waiting to see your services. Cordial
90	train	5.0	positive	Pricing	L'olivier Assurance	I went there for the price and was conquered by the speed and quality of the service
95	train	5.0	positive	Customer Service	L'olivier Assurance	For the moment nothing to say, Customer service is pleasant and responsive, the prices are very competitive. It remains to be confirmed in the event of a claim 
98	train	5.0	positive	Customer Service	AMV	Competitive price, reactive customer service and high -performance web interface. I have been a customer for 5 years and I highly recommend. I recently changed 
99	train	4.0	positive	Customer Service	Direct Assurance	I am satisfied with the service and the prices but not the fact of giving my opinion because it does not accept what I say and we must wait 107 years to get out
100	train	5.0	positive	Enrollment	APRIL Moto	Easy to use site, attractive price, fast subscription. That positive points for the moment, it remains to be seen in use, if it remains positive.
101	train	1.0	negative	Claims Processing	Active Assurances	Does not take into account the messages that have been adorned to him for months, liar hostesses to allow a file to rot in order to deceive on the dates of matu
103	train	5.0	positive	Pricing	Direct Assurance	Satisfied with the simple and practical service The price suits me, and to recommend it to those around me thank you. And ask you to make a commercial gesture f
106	train	5.0	positive	Pricing	APRIL Moto	I am really satisfied with the price and the speed of the service requested I recommend this insurance to all bikers Thank you and good road to all
108	train	2.0	negative	Other	AMV	Totally Kafkaian. When you subscribe, you are asked for the motorcycle parking address. But they did not think that we do not necessarily live where the motorcy
109	train	5.0	positive	Customer Service	L'olivier Assurance	Well, good good Advisor attached to the very courteous phone, very important human relationship ..... I await my contract, fortunately I am a writer ...
113	train	3.0	neutral	Customer Service	L'olivier Assurance	I am satisfied with the answer to my request. I am happy with the service provided by your customer relationship. Thanks again for your answers. Cordially
114	train	1.0	negative	Enrollment	Néoliane Santé	Not only are the costs incurred at the level announced in the subscribed police, but if there is how to transmit it? My member space has been inaccessible for t
122	train	1.0	negative	Claims Processing	L'olivier Assurance	During an accident, the assistance was deplorable, almost an hour to reach her and finally be unable to take me home !! I had to use my motorcycle insurance whi
124	train	1.0	negative	Cancellation	Matmut	Very selling insurers but in the event of a problem of incompetent and very long treatment deadlines. And as soon as it does not suit them they quickly terminat
129	train	5.0	positive	Pricing	APRIL Moto	I am satisfied with the price of speed it is not expensive I hope to quickly receive my insurance papers for my scooter thank you very much good day
130	train	2.0	negative	Enrollment	Active Assurances	Contract n285911. 3 calls for information statements to be valid (sent for 15 days), an email received this morning for the last request for documents while all
131	train	3.0	neutral	Enrollment	Direct Assurance	I am satisfied with the service The prices suit me, the subscription was simple and easy and I did not meet any particular concern when subscribing
134	train	4.0	positive	Coverage	L'olivier Assurance	Reasonable price, remains to see the effectiveness of the coverage. The steps remain fairly easy to understand and the interface and quite intuitive so the guid
135	train	1.0	negative	Customer Service	MAIF	"Like many people here, I received a registered standard letter Tuesday denouncing all my contracts on the pretext of ""the alteration of our commercial relations"
136	train	5.0	positive	Pricing	L'olivier Assurance	The explanations were clearly indicated. The price is very interesting. I am currently fully satisfied with this approach.
137	train	3.0	neutral	Enrollment	Direct Assurance	I really like what Direct Insurance offers, I intend to recommend it to a member of my family. In addition, prices are satisfactory so I enjoy
138	train	1.0	negative	Claims Processing	MAAF	Sinister of 04/04/2017 or my neighbor damaged the hood of my car The expert from the Maaf Cabinet de Brest to decide that as the hood of my car was damaged on a
141	train	2.0	negative	Pricing	Direct Assurance	I find the price of insurance too expensive compared to the bonus I have. I plan to change your insurance company to reduce my monthly payments.
143	train	5.0	positive	Other	L'olivier Assurance	The approach is simple, online it's fast and ergonomic
144	train	2.0	negative	Coverage	MACIF	With the Macif, you are insured for what does not happen to you !!! Despite an option provided for in my home contract, the Macif refuses to industrial me for o
145	train	5.0	positive	Pricing	Direct Assurance	EXCELLENT VALUE Practical website allowing a contract to be validated in 15 minutes I highly recommend direct insurance at least the insurance of a Fiat 500
146	train	1.0	negative	Other	APRIL	Complicated to be reimbursed for 6 months following hospitalization, for glasses my optician has been waiting for 1.5 months the amount of care ... never seen t
149	train	2.0	negative	Claims Processing	Harmonie Mutuelle	Lamentable in terms of service. File not treated since the end of November 2019 and read by your services on 2/12. No mutual card received and call for contribu
150	train	5.0	positive	Enrollment	Direct Assurance	Good report and flexibility of the offers offered on paper to subscription. The customer manager team is kind and answered my questions.
152	train	1.0	negative	Cancellation	Eurofil	Customer of least 14 difficult days to terminate this insurance does not allow you to put you main driver of two vehicles putting your second vehicle with princ
153	train	1.0	negative	Customer Service	Santiane	I was in contact with this insurer via a comparator; Where the other insurers were concerned with my needs, my expectations, my interlocutor was peremptory, eve
155	train	1.0	negative	Customer Service	MACIF	Impossible to have a quote by email, you have to connect to your customer area on the internet, but when you are a former member you cannot connect it is a defe
156	train	5.0	positive	Customer Service	L'olivier Assurance	Very satisfied with the service, the prices and the reception. The ex are very clear and very precise the interlocutors are very professional and pleasant.
164	train	5.0	positive	Cancellation	GMF	I have confidence in the GMF, quite simply. Nothing more to say. If I have a sinister I do not have the impression that my insurer tries to intertwine. On the c
165	train	2.0	negative	Claims Processing	Eurofil	Eutofil is a good tans insurance that we have no problem, unfortunately I have a disaster, I have been 50% bonus for a very long time, and we don't want to make
166	train	5.0	positive	Customer Service	L'olivier Assurance	Very good customer reception and total support. A warm and personalized welcome welcome for a first car contract. Very secure and good staff.
168	train	1.0	negative	Customer Service	Eurofil	"No better Ah! if still ; Oh ! I see a response from Eurofil while I try to reach them ""currently following the treatment of mail we close our standard"" a joke? "
173	train	2.0	negative	Other	Assur O'Poil	My Bearded Collie has diarrhea for almost 7 days. I consulted at the veterinary clinic near my home. Result nearly € 110 for consultation and 2 treatments. What
178	train	4.0	positive	Customer Service	L'olivier Assurance	I am satisfied with the service offered. Indeed this site is quite ergonomic and it is quite simple to subscribe for car insurance. I recommend.
180	train	1.0	negative	Customer Service	MACIF	No human contact. No human contact even in the waiting room. No look. No hello after 30 minutes of waiting I don't recommend , This Bruay site
181	train	4.0	positive	Pricing	L'olivier Assurance	I am very happy and very satisfied I highly recommend the Olivier Insurance Value Prix One of the best fast and efficient insurance
182	train	1.0	negative	Coverage	Matmut	I took the Plumbing Assistance option. A disaster! The companies that the Matmut employs are bogus, I only had concerns, several interventions without ever the 
183	train	1.0	negative	Other	Néoliane Santé	I do not recommend this mutual. Liar no similar answer between all the interlocutors ... Enjoy you don't sound correct ... to avoid seriously ..
184	train	5.0	positive	Pricing	APRIL Moto	Very good for a scooter. And it's simple to do and we understand correctly Price level it is yours remains to know when we need it if they are reactive
189	train	3.0	neutral	Customer Service	Pacifica	Very satisfied for support during a vehicle breakdown in Spain. Thanks to the international service.
190	train	3.0	neutral	Pricing	L'olivier Assurance	I am really unhappy with the Oliver Insurance. Living in the 76, we broke down on a Sunday evening around 11 p.m. 200km from our home. The insurer not wanting t
195	train	2.0	negative	Pricing	Direct Assurance	The prices are still expensive and the case costs as much but less expensive, it is quite fast and simple but for young drivers who do not work it is complicate
196	train	1.0	negative	Coverage	L'olivier Assurance	Very bad experience with them. Green card not received after several weeks. Online customer area that does not work, I end up calling and asking how much I coul
200	train	1.0	negative	Other	SantéVet	To run away absolutely. The salespeople are very strong to have you signed (a lot of promises and lies) ... after ...
201	train	1.0	negative	Customer Service	Direct Assurance	"I am not satisfied with the service following the increase in unjustified price. And ausi following the reception of an email informing me that ""you no longer b"
206	train	4.0	positive	Customer Service	Direct Assurance	Fast and efficient service., Navigation in the easy and intuitive menu. The prices are very competitive. I am satisfied with the services. And I will recommend 
210	train	5.0	positive	Claims Processing	Direct Assurance	Rather satisfied, just a pity that I cannot be born of my mother -in -law's sponsorship code, but in any case very successful price correct for me
213	train	2.0	negative	Claims Processing	Direct Assurance	I strongly recommend, exorbitant franchises, even in case of freezing free ice at other insurance, in case of ice breaks precisely and if you are theft of the b
215	train	3.0	neutral	Other	Direct Assurance	I am very happy with the Direct Insurance insurer with his connected insurance You Drive. It gives the possibility for any type of driver to benefit from insura
219	train	5.0	positive	Cancellation	GMF	G m f very good insurer on everything, very satisfied and above all very well informed about all my contracts.
221	train	1.0	negative	Other	Néoliane Santé	Good luck to leave this mutual !! There is always something missing and melts dragging the longest to continue to take your account !!!!!
226	train	5.0	positive	Other	Direct Assurance	5/5 At the opening of car insurance for service, prices, reactivitis, professions, information and offer. I recommend this insurance.
228	train	4.0	positive	Pricing	L'olivier Assurance	I am satisfied with the information that advised it to me, as well as the insurance rate per month. I recommend this online insurance.
237	train	4.0	positive	Coverage	Direct Assurance	Discovery of the process of change of address and modification of my online contract. Very well guided, simple and very clear operation. The proposed prices mee
239	train	3.0	neutral	Customer Service	L'olivier Assurance	I am satisfied, responsive and pleasant service and the prices are affordable I will surely recommend it to the family. I am happy to come back among you
241	train	1.0	negative	Claims Processing	Mercer	Mutual to flee. Mercer unduly refuses me reimbursements for more than two months. The advisers I had on the phone on multiple times (after each time a waiting f
242	train	4.0	positive	Other	Santiane	I thank Lamia who did everything to try to solve my problem. She has referred to the IT department, and now I just have to wait if they can help me ...
243	train	1.0	negative	Pricing	MACIF	Insurance with no serious, very disappointed. I have been insured with them for 8 years, I have never needed them. The only time I need to work my insurance, co
247	train	1.0	negative	Claims Processing	SwissLife	On stop for serious illness since March 16, 2018, we are August 28, 2018, I have still not been compensated. It is silly, I who had naively counted on this comp
250	train	4.0	positive	Enrollment	APRIL Moto	Simple fast demand. Correct price easy to find. Easy to use for the site. No membership fees. Correct price. Site simple to use
252	train	2.0	negative	Pricing	MACIF	I broke down with my scooter. I call the assistance, a few picks up after 30 minutes, I explain that I am broken and the person on the phone tells me basically 
254	train	1.0	negative	Coverage	AXA	Hello, We write to you to tell you about our very great dissatisfaction with Axa Travel Insurance. We are an association, a contemporary dance company which usu
255	train	1.0	negative	Customer Service	Néoliane Santé	Abusive canvassing as soon as I do a comparative study on the net. I decided to subscribe to it after reflection. I am extremely disappointed. NOT Customer Serv
264	train	4.0	positive	Other	Santiane	Good explanations and availability. Adapts to needs and requests.
266	train	4.0	positive	Other	L'olivier Assurance	I am very satisfied with the olive car insurance service. Simple, fast and practical with correct prices. I recommend multi-auto insurance which is advantageous
268	train	3.0	neutral	Other	Santiane	very fast to find an attractive mutual.
269	train	2.0	negative	Pricing	Direct Assurance	Direct Insurance did not take into account my acknowledgment of receipt with my termination request including the vehicle cessation certificate. They started pr
270	train	1.0	negative	Cancellation	Allianz	abusive direct debits without any mandate equal to criminal Refusal of termination equal ACPR complaint, ORIAS, AFUB, DGCCRF And unhappy experience sharing with
277	train	2.0	negative	Customer Service	AMV	Insured on 05/26/2020 for a 125, pay by transfer for the first 3 months, all the documents send but no green card despite the threads to the customer services a
280	train	4.0	positive	Pricing	APRIL Moto	The quotes are fast and clear. The prices are modular and reasonable. I will see if insurance is effective when I encounter a problem
281	train	1.0	negative	Cancellation	Groupama	At Groupama Ensure it is psychic the period or you do not have a disaster you think to be protecting but the day you need your contract nothing is going and tha
284	train	5.0	positive	Pricing	Direct Assurance	Very satisfied. Very interesting price. I highly recommend this insurance. Speed ​​and efficiency. Without any worries and ease of use.
288	train	3.0	neutral	Claims Processing	Direct Assurance	a little high price given the context, use of our two cars reduced by half in 2020 because teleworking on one side and work accident on the other
292	train	2.0	negative	Customer Service	Assur O'Poil	At the beginning delighted to have taken out a contract with this insurer because good reception with an agent of this insurance that I did not know before, I q
299	train	5.0	positive	Enrollment	L'olivier Assurance	Satisfied but impossible to be remembered by the agents to seek advice before subscription to the contract which makes things relatively complicated.
302	train	4.0	positive	Enrollment	L'olivier Assurance	Correct prices, good subscription telephone assistance, clear guarantees, pleasant interface, good sponsorship and promotions of all kinds
304	train	1.0	negative	Pricing	Mercer	I pay 95 euros per month (compulsory business insurance), exorbitant knowing that this is only the employee share. The guarantees are not particularly better th
309	train	4.0	positive	Other	APRIL Moto	Everything has been simple and quick. Competitive prix after multiple quotes with other insurances. I will recommend you if necessary.
